model,method,layer,layer_idx,metric_type,metric,Di,Do
t5-base,identity,transformer.encoder.block.7.layer.1.DenseReluDense.wo.weight,47,cosine_similarity,0.06724587827920914,3072,768
t5-base,actmat,transformer.encoder.block.8.layer.0.SelfAttention.q.weight,48,cosine_similarity,0.5117207169532776,768,768
t5-base,identity,transformer.encoder.block.8.layer.0.SelfAttention.q.weight,48,cosine_similarity,0.18299025297164917,768,768
t5-base,actmat,transformer.encoder.block.8.layer.0.SelfAttention.k.weight,49,cosine_similarity,0.4584234654903412,768,768
t5-base,identity,transformer.encoder.block.8.layer.0.SelfAttention.k.weight,49,cosine_similarity,0.18299025297164917,768,768
t5-base,actmat,transformer.encoder.block.8.layer.0.SelfAttention.v.weight,50,cosine_similarity,0.5342239141464233,768,768
t5-base,identity,transformer.encoder.block.8.layer.0.SelfAttention.v.weight,50,cosine_similarity,0.18299025297164917,768,768
t5-base,actmat,transformer.encoder.block.8.layer.0.SelfAttention.o.weight,51,cosine_similarity,0.4692494869232178,768,768
t5-base,identity,transformer.encoder.block.8.layer.0.SelfAttention.o.weight,51,cosine_similarity,0.11775454133749008,768,768
t5-base,actmat,transformer.encoder.block.8.layer.1.DenseReluDense.wi.weight,52,cosine_similarity,0.39976903796195984,768,3072
t5-base,identity,transformer.encoder.block.8.layer.1.DenseReluDense.wi.weight,52,cosine_similarity,0.08410472422838211,768,3072
t5-base,actmat,transformer.encoder.block.8.layer.1.DenseReluDense.wo.weight,53,cosine_similarity,0.11788773536682129,3072,768
t5-base,identity,transformer.encoder.block.8.layer.1.DenseReluDense.wo.weight,53,cosine_similarity,0.08029495179653168,3072,768
t5-base,actmat,transformer.encoder.block.9.layer.0.SelfAttention.q.weight,54,cosine_similarity,0.44953805208206177,768,768
t5-base,identity,transformer.encoder.block.9.layer.0.SelfAttention.q.weight,54,cosine_similarity,0.17168240249156952,768,768
t5-base,actmat,transformer.encoder.block.9.layer.0.SelfAttention.k.weight,55,cosine_similarity,0.41156575083732605,768,768
t5-base,identity,transformer.encoder.block.9.layer.0.SelfAttention.k.weight,55,cosine_similarity,0.17168240249156952,768,768
t5-base,actmat,transformer.encoder.block.9.layer.0.SelfAttention.v.weight,56,cosine_similarity,0.4760100841522217,768,768
t5-base,identity,transformer.encoder.block.9.layer.0.SelfAttention.v.weight,56,cosine_similarity,0.17168240249156952,768,768
t5-base,actmat,transformer.encoder.block.9.layer.0.SelfAttention.o.weight,57,cosine_similarity,0.41192907094955444,768,768
t5-base,identity,transformer.encoder.block.9.layer.0.SelfAttention.o.weight,57,cosine_similarity,0.09635954350233078,768,768
t5-base,actmat,transformer.encoder.block.9.layer.1.DenseReluDense.wi.weight,58,cosine_similarity,0.3660433888435364,768,3072
t5-base,identity,transformer.encoder.block.9.layer.1.DenseReluDense.wi.weight,58,cosine_similarity,0.07906868308782578,768,3072
t5-base,actmat,transformer.encoder.block.9.layer.1.DenseReluDense.wo.weight,59,cosine_similarity,0.08259990811347961,3072,768
t5-base,identity,transformer.encoder.block.9.layer.1.DenseReluDense.wo.weight,59,cosine_similarity,0.0573410727083683,3072,768
t5-base,actmat,transformer.encoder.block.10.layer.0.SelfAttention.q.weight,60,cosine_similarity,0.4600001275539398,768,768
t5-base,identity,transformer.encoder.block.10.layer.0.SelfAttention.q.weight,60,cosine_similarity,0.1743326336145401,768,768
t5-base,actmat,transformer.encoder.block.10.layer.0.SelfAttention.k.weight,61,cosine_similarity,0.3990769684314728,768,768
t5-base,identity,transformer.encoder.block.10.layer.0.SelfAttention.k.weight,61,cosine_similarity,0.1743326336145401,768,768
t5-base,actmat,transformer.encoder.block.10.layer.0.SelfAttention.v.weight,62,cosine_similarity,0.46019041538238525,768,768
t5-base,identity,transformer.encoder.block.10.layer.0.SelfAttention.v.weight,62,cosine_similarity,0.1743326336145401,768,768
t5-base,actmat,transformer.encoder.block.10.layer.0.SelfAttention.o.weight,63,cosine_similarity,0.3679943382740021,768,768
t5-base,identity,transformer.encoder.block.10.layer.0.SelfAttention.o.weight,63,cosine_similarity,0.11120637506246567,768,768
t5-base,actmat,transformer.encoder.block.10.layer.1.DenseReluDense.wi.weight,64,cosine_similarity,0.34055930376052856,768,3072
t5-base,identity,transformer.encoder.block.10.layer.1.DenseReluDense.wi.weight,64,cosine_similarity,0.078221395611763,768,3072
t5-base,actmat,transformer.encoder.block.10.layer.1.DenseReluDense.wo.weight,65,cosine_similarity,0.04633660987019539,3072,768
t5-base,identity,transformer.encoder.block.10.layer.1.DenseReluDense.wo.weight,65,cosine_similarity,0.04288136586546898,3072,768
t5-base,actmat,transformer.encoder.block.11.layer.0.SelfAttention.q.weight,66,cosine_similarity,0.3677268326282501,768,768
t5-base,identity,transformer.encoder.block.11.layer.0.SelfAttention.q.weight,66,cosine_similarity,0.1723545640707016,768,768
t5-base,actmat,transformer.encoder.block.11.layer.0.SelfAttention.k.weight,67,cosine_similarity,0.40265241265296936,768,768
t5-base,identity,transformer.encoder.block.11.layer.0.SelfAttention.k.weight,67,cosine_similarity,0.1723545640707016,768,768
