dataset,layer_name,layer_idx,angular_distance,type
qasc,transformer.encoder.block.4.layer.1.DenseReluDense.wi,28,0.1285681426525116,tot
qasc,transformer.encoder.block.4.layer.1.DenseReluDense.wi,28,-0.07346204668283463,$\delta_\text{gsc}$
qasc,transformer.encoder.block.4.layer.1.DenseReluDense.wi,28,-0.05806146562099457,$\delta_\text{ssc}$
qasc,transformer.encoder.block.4.layer.1.DenseReluDense.wo,29,0.23561832308769226,cross
qasc,transformer.encoder.block.4.layer.1.DenseReluDense.wo,29,0.44534289836883545,corr
qasc,transformer.encoder.block.4.layer.1.DenseReluDense.wo,29,0.4916934370994568,drift
qasc,transformer.encoder.block.4.layer.1.DenseReluDense.wo,29,0.34653928875923157,tot
qasc,transformer.encoder.block.4.layer.1.DenseReluDense.wo,29,-0.2994215786457062,$\delta_\text{gsc}$
qasc,transformer.encoder.block.4.layer.1.DenseReluDense.wo,29,-0.5266938209533691,$\delta_\text{ssc}$
qasc,transformer.encoder.block.5.layer.0.SelfAttention.q,30,,cross
qasc,transformer.encoder.block.5.layer.0.SelfAttention.q,30,,corr
qasc,transformer.encoder.block.5.layer.0.SelfAttention.q,30,,drift
qasc,transformer.encoder.block.5.layer.0.SelfAttention.q,30,,tot
qasc,transformer.encoder.block.5.layer.0.SelfAttention.q,30,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.5.layer.0.SelfAttention.q,30,,$\delta_\text{ssc}$
qasc,transformer.encoder.block.5.layer.0.SelfAttention.k,31,,cross
qasc,transformer.encoder.block.5.layer.0.SelfAttention.k,31,,corr
qasc,transformer.encoder.block.5.layer.0.SelfAttention.k,31,,drift
qasc,transformer.encoder.block.5.layer.0.SelfAttention.k,31,,tot
qasc,transformer.encoder.block.5.layer.0.SelfAttention.k,31,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.5.layer.0.SelfAttention.k,31,,$\delta_\text{ssc}$
qasc,transformer.encoder.block.5.layer.0.SelfAttention.v,32,0.12075760960578918,cross
qasc,transformer.encoder.block.5.layer.0.SelfAttention.v,32,0.12635433673858643,corr
qasc,transformer.encoder.block.5.layer.0.SelfAttention.v,32,0.19639705121517181,drift
qasc,transformer.encoder.block.5.layer.0.SelfAttention.v,32,0.1788892149925232,tot
qasc,transformer.encoder.block.5.layer.0.SelfAttention.v,32,-0.18396930396556854,$\delta_\text{gsc}$
qasc,transformer.encoder.block.5.layer.0.SelfAttention.v,32,-0.08065047860145569,$\delta_\text{ssc}$
qasc,transformer.encoder.block.5.layer.0.SelfAttention.o,33,0.18687351047992706,cross
qasc,transformer.encoder.block.5.layer.0.SelfAttention.o,33,0.18546319007873535,corr
qasc,transformer.encoder.block.5.layer.0.SelfAttention.o,33,0.24584876000881195,drift
qasc,transformer.encoder.block.5.layer.0.SelfAttention.o,33,0.21866829693317413,tot
qasc,transformer.encoder.block.5.layer.0.SelfAttention.o,33,-0.2749762535095215,$\delta_\text{gsc}$
qasc,transformer.encoder.block.5.layer.0.SelfAttention.o,33,-0.12454091012477875,$\delta_\text{ssc}$
qasc,transformer.encoder.block.5.layer.1.DenseReluDense.wi,34,0.06399419158697128,cross
qasc,transformer.encoder.block.5.layer.1.DenseReluDense.wi,34,0.08831039071083069,corr
qasc,transformer.encoder.block.5.layer.1.DenseReluDense.wi,34,0.1746922731399536,drift
qasc,transformer.encoder.block.5.layer.1.DenseReluDense.wi,34,0.15101826190948486,tot
qasc,transformer.encoder.block.5.layer.1.DenseReluDense.wi,34,-0.0950305387377739,$\delta_\text{gsc}$
qasc,transformer.encoder.block.5.layer.1.DenseReluDense.wi,34,-0.08094805479049683,$\delta_\text{ssc}$
qasc,transformer.encoder.block.5.layer.1.DenseReluDense.wo,35,0.21101509034633636,cross
qasc,transformer.encoder.block.5.layer.1.DenseReluDense.wo,35,0.4003572165966034,corr
qasc,transformer.encoder.block.5.layer.1.DenseReluDense.wo,35,0.4552535116672516,drift
qasc,transformer.encoder.block.5.layer.1.DenseReluDense.wo,35,0.29415103793144226,tot
qasc,transformer.encoder.block.5.layer.1.DenseReluDense.wo,35,-0.3112165331840515,$\delta_\text{gsc}$
qasc,transformer.encoder.block.5.layer.1.DenseReluDense.wo,35,-0.46125826239585876,$\delta_\text{ssc}$
qasc,transformer.encoder.block.6.layer.0.SelfAttention.q,36,,cross
qasc,transformer.encoder.block.6.layer.0.SelfAttention.q,36,,corr
qasc,transformer.encoder.block.6.layer.0.SelfAttention.q,36,,drift
qasc,transformer.encoder.block.6.layer.0.SelfAttention.q,36,,tot
qasc,transformer.encoder.block.6.layer.0.SelfAttention.q,36,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.6.layer.0.SelfAttention.q,36,,$\delta_\text{ssc}$
qasc,transformer.encoder.block.6.layer.0.SelfAttention.k,37,,cross
qasc,transformer.encoder.block.6.layer.0.SelfAttention.k,37,,corr
qasc,transformer.encoder.block.6.layer.0.SelfAttention.k,37,,drift
qasc,transformer.encoder.block.6.layer.0.SelfAttention.k,37,,tot
qasc,transformer.encoder.block.6.layer.0.SelfAttention.k,37,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.6.layer.0.SelfAttention.k,37,,$\delta_\text{ssc}$
qasc,transformer.encoder.block.6.layer.0.SelfAttention.v,38,0.10155363380908966,cross
qasc,transformer.encoder.block.6.layer.0.SelfAttention.v,38,0.09676014631986618,corr
qasc,transformer.encoder.block.6.layer.0.SelfAttention.v,38,0.2520369589328766,drift
qasc,transformer.encoder.block.6.layer.0.SelfAttention.v,38,0.23096658289432526,tot
qasc,transformer.encoder.block.6.layer.0.SelfAttention.v,38,-0.15089821815490723,$\delta_\text{gsc}$
qasc,transformer.encoder.block.6.layer.0.SelfAttention.v,38,-0.06848594546318054,$\delta_\text{ssc}$
qasc,transformer.encoder.block.6.layer.0.SelfAttention.o,39,0.12211058288812637,cross
qasc,transformer.encoder.block.6.layer.0.SelfAttention.o,39,0.12123862653970718,corr
qasc,transformer.encoder.block.6.layer.0.SelfAttention.o,39,0.28175806999206543,drift
qasc,transformer.encoder.block.6.layer.0.SelfAttention.o,39,0.26062867045402527,tot
qasc,transformer.encoder.block.6.layer.0.SelfAttention.o,39,-0.16983255743980408,$\delta_\text{gsc}$
qasc,transformer.encoder.block.6.layer.0.SelfAttention.o,39,-0.09464603662490845,$\delta_\text{ssc}$
qasc,transformer.encoder.block.6.layer.1.DenseReluDense.wi,40,0.0753215029835701,cross
qasc,transformer.encoder.block.6.layer.1.DenseReluDense.wi,40,0.09137354046106339,corr
qasc,transformer.encoder.block.6.layer.1.DenseReluDense.wi,40,0.21812255680561066,drift
qasc,transformer.encoder.block.6.layer.1.DenseReluDense.wi,40,0.1927260458469391,tot
qasc,transformer.encoder.block.6.layer.1.DenseReluDense.wi,40,-0.11546438187360764,$\delta_\text{gsc}$
qasc,transformer.encoder.block.6.layer.1.DenseReluDense.wi,40,-0.07662717998027802,$\delta_\text{ssc}$
qasc,transformer.encoder.block.6.layer.1.DenseReluDense.wo,41,0.12430942058563232,cross
qasc,transformer.encoder.block.6.layer.1.DenseReluDense.wo,41,0.3155309557914734,corr
qasc,transformer.encoder.block.6.layer.1.DenseReluDense.wo,41,0.4529167115688324,drift
qasc,transformer.encoder.block.6.layer.1.DenseReluDense.wo,41,0.3508567810058594,tot
qasc,transformer.encoder.block.6.layer.1.DenseReluDense.wo,41,-0.14854824542999268,$\delta_\text{gsc}$
