dataset,step,layer_name,layer_idx,angular_distance,type
Cars,0,model.visual.transformer.resblocks.5.attn.o,33,0.23193554689291818,gst
Cars,0,model.visual.transformer.resblocks.5.mlp.c_fc,34,0.14401949503269293,cross
Cars,0,model.visual.transformer.resblocks.5.mlp.c_fc,34,0.2052471431290772,corr
Cars,0,model.visual.transformer.resblocks.5.mlp.c_fc,34,0.15154712571344559,gst
Cars,0,model.visual.transformer.resblocks.5.mlp.c_proj,35,0.10832804201380819,cross
Cars,0,model.visual.transformer.resblocks.5.mlp.c_proj,35,0.19484722783132205,corr
Cars,0,model.visual.transformer.resblocks.5.mlp.c_proj,35,0.1967341293543895,gst
Cars,0,model.visual.transformer.resblocks.6.attn.q,36,0.2405722022557517,cross
Cars,0,model.visual.transformer.resblocks.6.attn.q,36,0.2562758816060635,corr
Cars,0,model.visual.transformer.resblocks.6.attn.q,36,0.28569477645636293,gst
Cars,0,model.visual.transformer.resblocks.6.attn.k,37,0.29034674727618875,cross
Cars,0,model.visual.transformer.resblocks.6.attn.k,37,0.23500526150116863,corr
Cars,0,model.visual.transformer.resblocks.6.attn.k,37,0.35021080690162587,gst
Cars,0,model.visual.transformer.resblocks.6.attn.v,38,0.23437511514083445,cross
Cars,0,model.visual.transformer.resblocks.6.attn.v,38,0.24850106971897132,corr
Cars,0,model.visual.transformer.resblocks.6.attn.v,38,0.2689787048158002,gst
Cars,0,model.visual.transformer.resblocks.6.attn.o,39,0.14590434181828207,cross
Cars,0,model.visual.transformer.resblocks.6.attn.o,39,0.2142249280092729,corr
Cars,0,model.visual.transformer.resblocks.6.attn.o,39,0.22337871283423646,gst
Cars,0,model.visual.transformer.resblocks.6.mlp.c_fc,40,0.1273305435752983,cross
Cars,0,model.visual.transformer.resblocks.6.mlp.c_fc,40,0.2094709421630296,corr
Cars,0,model.visual.transformer.resblocks.6.mlp.c_fc,40,0.1864576530947198,gst
Cars,0,model.visual.transformer.resblocks.6.mlp.c_proj,41,0.12881624811055628,cross
Cars,0,model.visual.transformer.resblocks.6.mlp.c_proj,41,0.3370567784328313,corr
Cars,0,model.visual.transformer.resblocks.6.mlp.c_proj,41,0.3455944058313281,gst
Cars,0,model.visual.transformer.resblocks.7.attn.q,42,0.22608374642410428,cross
Cars,0,model.visual.transformer.resblocks.7.attn.q,42,0.2727046273126852,corr
Cars,0,model.visual.transformer.resblocks.7.attn.q,42,0.3182127321871966,gst
Cars,0,model.visual.transformer.resblocks.7.attn.k,43,0.20190693003884738,cross
Cars,0,model.visual.transformer.resblocks.7.attn.k,43,0.25065372848113576,corr
Cars,0,model.visual.transformer.resblocks.7.attn.k,43,0.3043798110506089,gst
Cars,0,model.visual.transformer.resblocks.7.attn.v,44,0.336962561339236,cross
Cars,0,model.visual.transformer.resblocks.7.attn.v,44,0.33711850400565724,corr
Cars,0,model.visual.transformer.resblocks.7.attn.v,44,0.295836862928865,gst
Cars,0,model.visual.transformer.resblocks.7.attn.o,45,0.12024744989623068,cross
Cars,0,model.visual.transformer.resblocks.7.attn.o,45,0.18890026922063125,corr
Cars,0,model.visual.transformer.resblocks.7.attn.o,45,0.191486080936863,gst
Cars,0,model.visual.transformer.resblocks.7.mlp.c_fc,46,0.14942619266313667,cross
Cars,0,model.visual.transformer.resblocks.7.mlp.c_fc,46,0.228760263221024,corr
Cars,0,model.visual.transformer.resblocks.7.mlp.c_fc,46,0.21991685712813286,gst
Cars,0,model.visual.transformer.resblocks.7.mlp.c_proj,47,0.16203721456907555,cross
Cars,0,model.visual.transformer.resblocks.7.mlp.c_proj,47,0.3899418779719953,corr
Cars,0,model.visual.transformer.resblocks.7.mlp.c_proj,47,0.389023696125695,gst
Cars,0,model.visual.transformer.resblocks.8.attn.q,48,0.28155219429896394,cross
Cars,0,model.visual.transformer.resblocks.8.attn.q,48,0.31699208909431487,corr
Cars,0,model.visual.transformer.resblocks.8.attn.q,48,0.2931418529226545,gst
Cars,0,model.visual.transformer.resblocks.8.attn.k,49,0.2961469875456321,cross
Cars,0,model.visual.transformer.resblocks.8.attn.k,49,0.2721388020201664,corr
Cars,0,model.visual.transformer.resblocks.8.attn.k,49,0.35863573149824907,gst
Cars,0,model.visual.transformer.resblocks.8.attn.v,50,0.23196016426569321,cross
Cars,0,model.visual.transformer.resblocks.8.attn.v,50,0.2757552000046127,corr
Cars,0,model.visual.transformer.resblocks.8.attn.v,50,0.2793321954953918,gst
Cars,0,model.visual.transformer.resblocks.8.attn.o,51,0.10533898533666283,cross
Cars,0,model.visual.transformer.resblocks.8.attn.o,51,0.18317512927885637,corr
Cars,0,model.visual.transformer.resblocks.8.attn.o,51,0.1764136556249848,gst
Cars,0,model.visual.transformer.resblocks.8.mlp.c_fc,52,0.1759320065859376,cross
Cars,0,model.visual.transformer.resblocks.8.mlp.c_fc,52,0.27107168026255146,corr
Cars,0,model.visual.transformer.resblocks.8.mlp.c_fc,52,0.2362186256378755,gst
Cars,0,model.visual.transformer.resblocks.8.mlp.c_proj,53,0.24027927552430517,cross
Cars,0,model.visual.transformer.resblocks.8.mlp.c_proj,53,0.3212957702391165,corr
Cars,0,model.visual.transformer.resblocks.8.mlp.c_proj,53,0.29020119109513287,gst
Cars,0,model.visual.transformer.resblocks.9.attn.q,54,0.2999463427071374,cross
Cars,0,model.visual.transformer.resblocks.9.attn.q,54,0.40298449265656355,corr
Cars,0,model.visual.transformer.resblocks.9.attn.q,54,0.31565663625172563,gst
Cars,0,model.visual.transformer.resblocks.9.attn.k,55,0.3322389999765381,cross
Cars,0,model.visual.transformer.resblocks.9.attn.k,55,0.30633156139687256,corr
Cars,0,model.visual.transformer.resblocks.9.attn.k,55,0.32667600540925906,gst
Cars,0,model.visual.transformer.resblocks.9.attn.v,56,0.19539110465441437,cross
Cars,0,model.visual.transformer.resblocks.9.attn.v,56,0.30584805463238085,corr
Cars,0,model.visual.transformer.resblocks.9.attn.v,56,0.31788567192535877,gst
Cars,0,model.visual.transformer.resblocks.9.attn.o,57,0.20001419760063227,cross
Cars,0,model.visual.transformer.resblocks.9.attn.o,57,0.23639186807517312,corr
Cars,0,model.visual.transformer.resblocks.9.attn.o,57,0.2053926519565213,gst
Cars,0,model.visual.transformer.resblocks.9.mlp.c_fc,58,0.20826327283287072,cross
Cars,0,model.visual.transformer.resblocks.9.mlp.c_fc,58,0.29895645196322,corr
Cars,0,model.visual.transformer.resblocks.9.mlp.c_fc,58,0.26106129368494085,gst
Cars,0,model.visual.transformer.resblocks.9.mlp.c_proj,59,0.3212924530876663,cross
Cars,0,model.visual.transformer.resblocks.9.mlp.c_proj,59,0.4082458346212795,corr
Cars,0,model.visual.transformer.resblocks.9.mlp.c_proj,59,0.31267276738486277,gst
Cars,0,model.visual.transformer.resblocks.10.attn.q,60,0.19435325573784915,cross
Cars,0,model.visual.transformer.resblocks.10.attn.q,60,0.46010321207383675,corr
Cars,0,model.visual.transformer.resblocks.10.attn.q,60,0.3683053432660653,gst
Cars,0,model.visual.transformer.resblocks.10.attn.k,61,0.28791650782037476,cross
Cars,0,model.visual.transformer.resblocks.10.attn.k,61,0.3803462233504462,corr
Cars,0,model.visual.transformer.resblocks.10.attn.k,61,0.28368265876455484,gst
