model,dataset_i,layer_name,layer_idx,kappa_i,dataset_j,kappa_j,rho
Olmo-3-7b,Math,model.layers.11.self_attn.v_proj.weight,28,2578852.75,IF,678444.4375,3.80112593966105
Olmo-3-7b,Math,model.layers.12.mlp.down_proj.weight,29,207354.703125,Math,207354.703125,1.0
Olmo-3-7b,Math,model.layers.12.mlp.down_proj.weight,29,207354.703125,Code,110893.1328125,1.8698606294728717
Olmo-3-7b,Math,model.layers.12.mlp.down_proj.weight,29,207354.703125,IF,46085.640625,4.499334289659774
Olmo-3-7b,Math,model.layers.12.mlp.gate_proj.weight,30,3005362.0,Math,3005362.0,1.0
Olmo-3-7b,Math,model.layers.12.mlp.gate_proj.weight,30,3005362.0,Code,1504171.75,1.9980178460338722
Olmo-3-7b,Math,model.layers.12.mlp.gate_proj.weight,30,3005362.0,IF,517599.9375,5.806341504822921
Olmo-3-7b,Math,model.layers.12.mlp.up_proj.weight,31,2833708.5,Math,2833708.5,1.0
Olmo-3-7b,Math,model.layers.12.mlp.up_proj.weight,31,2833708.5,Code,1438010.5,1.970575666867523
Olmo-3-7b,Math,model.layers.12.mlp.up_proj.weight,31,2833708.5,IF,495672.34375,5.716898543424131
Olmo-3-7b,Math,model.layers.12.self_attn.k_proj.weight,32,6120983.0,Math,6120983.0,1.0
Olmo-3-7b,Math,model.layers.12.self_attn.k_proj.weight,32,6120983.0,Code,4410171.5,1.3879240297117696
Olmo-3-7b,Math,model.layers.12.self_attn.k_proj.weight,32,6120983.0,IF,1867350.125,3.2778978714556812
Olmo-3-7b,Math,model.layers.12.self_attn.o_proj.weight,33,1731320.875,Math,1731320.875,1.0
Olmo-3-7b,Math,model.layers.12.self_attn.o_proj.weight,33,1731320.875,Code,885381.3125,1.9554522447637497
Olmo-3-7b,Math,model.layers.12.self_attn.o_proj.weight,33,1731320.875,IF,418153.5625,4.140394893801724
Olmo-3-7b,Math,model.layers.12.self_attn.q_proj.weight,34,8333368.0,Math,8333368.0,1.0
Olmo-3-7b,Math,model.layers.12.self_attn.q_proj.weight,34,8333368.0,Code,5086957.5,1.6381831379562342
Olmo-3-7b,Math,model.layers.12.self_attn.q_proj.weight,34,8333368.0,IF,1933626.875,4.309708407419606
Olmo-3-7b,Math,model.layers.12.self_attn.v_proj.weight,35,3260759.5,Math,3260759.5,1.0
Olmo-3-7b,Math,model.layers.12.self_attn.v_proj.weight,35,3260759.5,Code,1732334.375,1.8822922104746667
Olmo-3-7b,Math,model.layers.12.self_attn.v_proj.weight,35,3260759.5,IF,807837.9375,4.03640303164148
Olmo-3-7b,Math,model.layers.13.mlp.down_proj.weight,36,355030.6875,Math,355030.6875,1.0
Olmo-3-7b,Math,model.layers.13.mlp.down_proj.weight,36,355030.6875,Code,171165.140625,2.0741997243342025
Olmo-3-7b,Math,model.layers.13.mlp.down_proj.weight,36,355030.6875,IF,74546.2109375,4.76255845917722
Olmo-3-7b,Math,model.layers.13.mlp.gate_proj.weight,37,3424778.0,Math,3424778.0,1.0
Olmo-3-7b,Math,model.layers.13.mlp.gate_proj.weight,37,3424778.0,Code,1724189.75,1.986311541406623
Olmo-3-7b,Math,model.layers.13.mlp.gate_proj.weight,37,3424778.0,IF,588832.0,5.8162226237704475
Olmo-3-7b,Math,model.layers.13.mlp.up_proj.weight,38,3220530.5,Math,3220530.5,1.0
Olmo-3-7b,Math,model.layers.13.mlp.up_proj.weight,38,3220530.5,Code,1631778.25,1.9736324466881452
Olmo-3-7b,Math,model.layers.13.mlp.up_proj.weight,38,3220530.5,IF,580363.125,5.549164585534272
Olmo-3-7b,Math,model.layers.13.self_attn.k_proj.weight,39,10326212.0,Math,10326212.0,1.0
Olmo-3-7b,Math,model.layers.13.self_attn.k_proj.weight,39,10326212.0,Code,6576148.5,1.5702522532756065
Olmo-3-7b,Math,model.layers.13.self_attn.k_proj.weight,39,10326212.0,IF,2302765.75,4.484265062566611
Olmo-3-7b,Math,model.layers.13.self_attn.o_proj.weight,40,1274222.375,Math,1274222.375,1.0
Olmo-3-7b,Math,model.layers.13.self_attn.o_proj.weight,40,1274222.375,Code,711958.8125,1.789741699418883
Olmo-3-7b,Math,model.layers.13.self_attn.o_proj.weight,40,1274222.375,IF,346003.78125,3.6826833810793795
Olmo-3-7b,Math,model.layers.13.self_attn.q_proj.weight,41,11477184.0,Math,11477184.0,1.0
Olmo-3-7b,Math,model.layers.13.self_attn.q_proj.weight,41,11477184.0,Code,6458345.0,1.7771091510286303
Olmo-3-7b,Math,model.layers.13.self_attn.q_proj.weight,41,11477184.0,IF,2338587.25,4.907742484271219
Olmo-3-7b,Math,model.layers.13.self_attn.v_proj.weight,42,3436390.75,Math,3436390.75,1.0
Olmo-3-7b,Math,model.layers.13.self_attn.v_proj.weight,42,3436390.75,Code,1692098.25,2.0308458743456534
Olmo-3-7b,Math,model.layers.13.self_attn.v_proj.weight,42,3436390.75,IF,940198.9375,3.6549613203535447
Olmo-3-7b,Math,model.layers.14.mlp.down_proj.weight,43,588808.3125,Math,588808.3125,1.0
Olmo-3-7b,Math,model.layers.14.mlp.down_proj.weight,43,588808.3125,Code,340018.59375,1.7316944523714006
Olmo-3-7b,Math,model.layers.14.mlp.down_proj.weight,43,588808.3125,IF,124272.9375,4.738025223713731
Olmo-3-7b,Math,model.layers.14.mlp.gate_proj.weight,44,4695231.5,Math,4695231.5,1.0
Olmo-3-7b,Math,model.layers.14.mlp.gate_proj.weight,44,4695231.5,Code,2194920.25,2.1391353512730134
Olmo-3-7b,Math,model.layers.14.mlp.gate_proj.weight,44,4695231.5,IF,743468.5625,6.315306035552781
Olmo-3-7b,Math,model.layers.14.mlp.up_proj.weight,45,4476840.0,Math,4476840.0,1.0
Olmo-3-7b,Math,model.layers.14.mlp.up_proj.weight,45,4476840.0,Code,2126712.25,2.1050520586412196
Olmo-3-7b,Math,model.layers.14.mlp.up_proj.weight,45,4476840.0,IF,715928.8125,6.253191548985186
Olmo-3-7b,Math,model.layers.14.self_attn.k_proj.weight,46,10957010.0,Math,10957010.0,1.0
Olmo-3-7b,Math,model.layers.14.self_attn.k_proj.weight,46,10957010.0,Code,6199712.5,1.7673416307611038
Olmo-3-7b,Math,model.layers.14.self_attn.k_proj.weight,46,10957010.0,IF,2489667.75,4.400992863405167
Olmo-3-7b,Math,model.layers.14.self_attn.o_proj.weight,47,905926.0625,Math,905926.0625,1.0
Olmo-3-7b,Math,model.layers.14.self_attn.o_proj.weight,47,905926.0625,Code,517665.0625,1.7500235733988712
Olmo-3-7b,Math,model.layers.14.self_attn.o_proj.weight,47,905926.0625,IF,298630.0625,3.033606378795169
Olmo-3-7b,Math,model.layers.14.self_attn.q_proj.weight,48,12478877.0,Math,12478877.0,1.0
Olmo-3-7b,Math,model.layers.14.self_attn.q_proj.weight,48,12478877.0,Code,6331116.0,1.9710390711527004
Olmo-3-7b,Math,model.layers.14.self_attn.q_proj.weight,48,12478877.0,IF,2111381.75,5.910289316463023
Olmo-3-7b,Math,model.layers.14.self_attn.v_proj.weight,49,5036515.5,Math,5036515.5,1.0
Olmo-3-7b,Math,model.layers.14.self_attn.v_proj.weight,49,5036515.5,Code,2204663.0,2.2844831613720555
Olmo-3-7b,Math,model.layers.14.self_attn.v_proj.weight,49,5036515.5,IF,1121404.125,4.491258225039969
Olmo-3-7b,Math,model.layers.15.mlp.down_proj.weight,50,957316.5625,Math,957316.5625,1.0
Olmo-3-7b,Math,model.layers.15.mlp.down_proj.weight,50,957316.5625,Code,516889.65625,1.8520714255442212
Olmo-3-7b,Math,model.layers.15.mlp.down_proj.weight,50,957316.5625,IF,199701.53125,4.7937367155265616
Olmo-3-7b,Math,model.layers.15.mlp.gate_proj.weight,51,5495493.0,Math,5495493.0,1.0
Olmo-3-7b,Math,model.layers.15.mlp.gate_proj.weight,51,5495493.0,Code,2600007.5,2.1136450567931053
Olmo-3-7b,Math,model.layers.15.mlp.gate_proj.weight,51,5495493.0,IF,897880.6875,6.120515873107027
Olmo-3-7b,Math,model.layers.15.mlp.up_proj.weight,52,5286160.5,Math,5286160.5,1.0
Olmo-3-7b,Math,model.layers.15.mlp.up_proj.weight,52,5286160.5,Code,2489439.75,2.123433796700643
Olmo-3-7b,Math,model.layers.15.mlp.up_proj.weight,52,5286160.5,IF,871762.5,6.063762205876027
Olmo-3-7b,Math,model.layers.15.self_attn.k_proj.weight,53,9215671.0,Math,9215671.0,1.0
Olmo-3-7b,Math,model.layers.15.self_attn.k_proj.weight,53,9215671.0,Code,6498689.0,1.4180815546027823
Olmo-3-7b,Math,model.layers.15.self_attn.k_proj.weight,53,9215671.0,IF,1564769.75,5.8894741542645495
Olmo-3-7b,Math,model.layers.15.self_attn.o_proj.weight,54,1771893.5,Math,1771893.5,1.0
Olmo-3-7b,Math,model.layers.15.self_attn.o_proj.weight,54,1771893.5,Code,1041921.9375,1.7006010107163139
Olmo-3-7b,Math,model.layers.15.self_attn.o_proj.weight,54,1771893.5,IF,575051.0625,3.0812802819575698
Olmo-3-7b,Math,model.layers.15.self_attn.q_proj.weight,55,8478041.0,Math,8478041.0,1.0
Olmo-3-7b,Math,model.layers.15.self_attn.q_proj.weight,55,8478041.0,Code,6058517.5,1.3993590016039403
Olmo-3-7b,Math,model.layers.15.self_attn.q_proj.weight,55,8478041.0,IF,1488432.0,5.6959545347049785
Olmo-3-7b,Math,model.layers.15.self_attn.v_proj.weight,56,5603064.0,Math,5603064.0,1.0
Olmo-3-7b,Math,model.layers.15.self_attn.v_proj.weight,56,5603064.0,Code,2501670.0,2.239729460720239
Olmo-3-7b,Math,model.layers.15.self_attn.v_proj.weight,56,5603064.0,IF,1543570.875,3.6299363318836915
Olmo-3-7b,Math,model.layers.16.mlp.down_proj.weight,57,1229878.25,Math,1229878.25,1.0
Olmo-3-7b,Math,model.layers.16.mlp.down_proj.weight,57,1229878.25,Code,545900.75,2.252933797947704
Olmo-3-7b,Math,model.layers.16.mlp.down_proj.weight,57,1229878.25,IF,245307.234375,5.013624050401591
Olmo-3-7b,Math,model.layers.16.mlp.gate_proj.weight,58,7345556.0,Math,7345556.0,1.0
Olmo-3-7b,Math,model.layers.16.mlp.gate_proj.weight,58,7345556.0,Code,3068188.75,2.3941017318442355
Olmo-3-7b,Math,model.layers.16.mlp.gate_proj.weight,58,7345556.0,IF,1145572.0,6.412129486405044
Olmo-3-7b,Math,model.layers.16.mlp.up_proj.weight,59,7085781.0,Math,7085781.0,1.0
Olmo-3-7b,Math,model.layers.16.mlp.up_proj.weight,59,7085781.0,Code,3031217.0,2.3376026856539798
Olmo-3-7b,Math,model.layers.16.mlp.up_proj.weight,59,7085781.0,IF,1113197.125,6.365252695024702
Olmo-3-7b,Math,model.layers.16.self_attn.k_proj.weight,60,19244330.0,Math,19244330.0,1.0
Olmo-3-7b,Math,model.layers.16.self_attn.k_proj.weight,60,19244330.0,Code,9823859.0,1.9589379285675823
Olmo-3-7b,Math,model.layers.16.self_attn.k_proj.weight,60,19244330.0,IF,3930490.75,4.896164683761182
Olmo-3-7b,Math,model.layers.16.self_attn.o_proj.weight,61,2795248.0,Math,2795248.0,1.0
Olmo-3-7b,Math,model.layers.16.self_attn.o_proj.weight,61,2795248.0,Code,1111969.375,2.513781460932771
Olmo-3-7b,Math,model.layers.16.self_attn.o_proj.weight,61,2795248.0,IF,575883.5625,4.853842307749494
Olmo-3-7b,Math,model.layers.16.self_attn.q_proj.weight,62,16338089.0,Math,16338089.0,1.0
Olmo-3-7b,Math,model.layers.16.self_attn.q_proj.weight,62,16338089.0,Code,8920337.0,1.8315551307086269
Olmo-3-7b,Math,model.layers.16.self_attn.q_proj.weight,62,16338089.0,IF,2562994.75,6.374608843814448
Olmo-3-7b,Math,model.layers.16.self_attn.v_proj.weight,63,7760247.5,Math,7760247.5,1.0
Olmo-3-7b,Math,model.layers.16.self_attn.v_proj.weight,63,7760247.5,Code,3671120.0,2.113863752751204
Olmo-3-7b,Math,model.layers.16.self_attn.v_proj.weight,63,7760247.5,IF,1942861.625,3.994235822121403
Olmo-3-7b,Math,model.layers.17.mlp.down_proj.weight,64,1939190.125,Math,1939190.125,1.0
Olmo-3-7b,Math,model.layers.17.mlp.down_proj.weight,64,1939190.125,Code,954722.25,2.0311563127391237
Olmo-3-7b,Math,model.layers.17.mlp.down_proj.weight,64,1939190.125,IF,480898.65625,4.032429909706157
Olmo-3-7b,Math,model.layers.17.mlp.gate_proj.weight,65,8645264.0,Math,8645264.0,1.0
Olmo-3-7b,Math,model.layers.17.mlp.gate_proj.weight,65,8645264.0,Code,3783386.75,2.2850595435425682
Olmo-3-7b,Math,model.layers.17.mlp.gate_proj.weight,65,8645264.0,IF,1497510.375,5.773091221488198
Olmo-3-7b,Math,model.layers.17.mlp.up_proj.weight,66,8425517.0,Math,8425517.0,1.0
Olmo-3-7b,Math,model.layers.17.mlp.up_proj.weight,66,8425517.0,Code,3678151.0,2.2906936120893353
Olmo-3-7b,Math,model.layers.17.mlp.up_proj.weight,66,8425517.0,IF,1449552.0,5.812497240526728
Olmo-3-7b,Math,model.layers.17.self_attn.k_proj.weight,67,22827712.0,Math,22827712.0,1.0
Olmo-3-7b,Math,model.layers.17.self_attn.k_proj.weight,67,22827712.0,Code,7839597.5,2.911847451351935
Olmo-3-7b,Math,model.layers.17.self_attn.k_proj.weight,67,22827712.0,IF,5046248.5,4.523699536398178
Olmo-3-7b,Math,model.layers.17.self_attn.o_proj.weight,68,1898816.75,Math,1898816.75,1.0
Olmo-3-7b,Math,model.layers.17.self_attn.o_proj.weight,68,1898816.75,Code,789881.25,2.4039268560938747
Olmo-3-7b,Math,model.layers.17.self_attn.o_proj.weight,68,1898816.75,IF,511725.15625,3.7106183403505484
Olmo-3-7b,Math,model.layers.17.self_attn.q_proj.weight,69,23163426.0,Math,23163426.0,1.0
Olmo-3-7b,Math,model.layers.17.self_attn.q_proj.weight,69,23163426.0,Code,8818979.0,2.626542823154472
Olmo-3-7b,Math,model.layers.17.self_attn.q_proj.weight,69,23163426.0,IF,3833037.25,6.043099633326026
Olmo-3-7b,Math,model.layers.17.self_attn.v_proj.weight,70,11287028.0,Math,11287028.0,1.0
Olmo-3-7b,Math,model.layers.17.self_attn.v_proj.weight,70,11287028.0,Code,4468797.5,2.525741656452323
Olmo-3-7b,Math,model.layers.17.self_attn.v_proj.weight,70,11287028.0,IF,2604783.5,4.333192374721354
Olmo-3-7b,Math,model.layers.18.mlp.down_proj.weight,71,2338849.75,Math,2338849.75,1.0
Olmo-3-7b,Math,model.layers.18.mlp.down_proj.weight,71,2338849.75,Code,1266194.375,1.8471490603486531
Olmo-3-7b,Math,model.layers.18.mlp.down_proj.weight,71,2338849.75,IF,994592.875,2.3515649556608778
Olmo-3-7b,Math,model.layers.18.mlp.gate_proj.weight,72,9806633.0,Math,9806633.0,1.0
Olmo-3-7b,Math,model.layers.18.mlp.gate_proj.weight,72,9806633.0,Code,4250972.5,2.3069151823494507
Olmo-3-7b,Math,model.layers.18.mlp.gate_proj.weight,72,9806633.0,IF,2043625.125,4.798645739883434
Olmo-3-7b,Math,model.layers.18.mlp.up_proj.weight,73,9832314.0,Math,9832314.0,1.0
Olmo-3-7b,Math,model.layers.18.mlp.up_proj.weight,73,9832314.0,Code,4198319.5,2.341964207345344
Olmo-3-7b,Math,model.layers.18.mlp.up_proj.weight,73,9832314.0,IF,1922763.875,5.113635703187944
Olmo-3-7b,Math,model.layers.18.self_attn.k_proj.weight,74,24805100.0,Math,24805100.0,1.0
Olmo-3-7b,Math,model.layers.18.self_attn.k_proj.weight,74,24805100.0,Code,7957039.5,3.11737801477547
Olmo-3-7b,Math,model.layers.18.self_attn.k_proj.weight,74,24805100.0,IF,7112111.5,3.4877265352209394
Olmo-3-7b,Math,model.layers.18.self_attn.o_proj.weight,75,1472623.0,Math,1472623.0,1.0
Olmo-3-7b,Math,model.layers.18.self_attn.o_proj.weight,75,1472623.0,Code,813589.8125,1.8100312680599107
Olmo-3-7b,Math,model.layers.18.self_attn.o_proj.weight,75,1472623.0,IF,801824.9375,1.8365891744293623
Olmo-3-7b,Math,model.layers.18.self_attn.q_proj.weight,76,26434096.0,Math,26434096.0,1.0
Olmo-3-7b,Math,model.layers.18.self_attn.q_proj.weight,76,26434096.0,Code,9528656.0,2.7741683612043504
Olmo-3-7b,Math,model.layers.18.self_attn.q_proj.weight,76,26434096.0,IF,5391268.0,4.9031315082092
Olmo-3-7b,Math,model.layers.18.self_attn.v_proj.weight,77,11074564.0,Math,11074564.0,1.0
Olmo-3-7b,Math,model.layers.18.self_attn.v_proj.weight,77,11074564.0,Code,4783312.0,2.315250186481668
Olmo-3-7b,Math,model.layers.18.self_attn.v_proj.weight,77,11074564.0,IF,3823910.0,2.8961361538320722
Olmo-3-7b,Math,model.layers.19.mlp.down_proj.weight,78,4062355.0,Math,4062355.0,1.0
Olmo-3-7b,Math,model.layers.19.mlp.down_proj.weight,78,4062355.0,Code,1700331.125,2.389155229984983
Olmo-3-7b,Math,model.layers.19.mlp.down_proj.weight,78,4062355.0,IF,1565755.25,2.594501918483109
Olmo-3-7b,Math,model.layers.19.mlp.gate_proj.weight,79,10773706.0,Math,10773706.0,1.0
Olmo-3-7b,Math,model.layers.19.mlp.gate_proj.weight,79,10773706.0,Code,4632135.5,2.3258615815534758
Olmo-3-7b,Math,model.layers.19.mlp.gate_proj.weight,79,10773706.0,IF,2517167.0,4.2800918651801805
Olmo-3-7b,Math,model.layers.19.mlp.up_proj.weight,80,10531838.0,Math,10531838.0,1.0
Olmo-3-7b,Math,model.layers.19.mlp.up_proj.weight,80,10531838.0,Code,4458433.5,2.362228347692076
Olmo-3-7b,Math,model.layers.19.mlp.up_proj.weight,80,10531838.0,IF,2444579.25,4.308241592085836
Olmo-3-7b,Math,model.layers.19.self_attn.k_proj.weight,81,23057808.0,Math,23057808.0,1.0
