model,method,layer,layer_idx,metric_type,metric,Di,Do
t5-base,actmat,transformer.encoder.block.10.layer.1.DenseReluDense.wi.weight,64,cosine_similarity,0.27515479922294617,768,3072
t5-base,identity,transformer.encoder.block.10.layer.1.DenseReluDense.wi.weight,64,cosine_similarity,0.0746510922908783,768,3072
t5-base,actmat,transformer.encoder.block.10.layer.1.DenseReluDense.wo.weight,65,cosine_similarity,0.026455070823431015,3072,768
t5-base,identity,transformer.encoder.block.10.layer.1.DenseReluDense.wo.weight,65,cosine_similarity,0.03674133121967316,3072,768
t5-base,actmat,transformer.encoder.block.11.layer.0.SelfAttention.q.weight,66,cosine_similarity,0.33655866980552673,768,768
t5-base,identity,transformer.encoder.block.11.layer.0.SelfAttention.q.weight,66,cosine_similarity,0.154604971408844,768,768
t5-base,actmat,transformer.encoder.block.11.layer.0.SelfAttention.k.weight,67,cosine_similarity,0.37067660689353943,768,768
t5-base,identity,transformer.encoder.block.11.layer.0.SelfAttention.k.weight,67,cosine_similarity,0.154604971408844,768,768
t5-base,actmat,transformer.encoder.block.11.layer.0.SelfAttention.v.weight,68,cosine_similarity,0.4080860912799835,768,768
t5-base,identity,transformer.encoder.block.11.layer.0.SelfAttention.v.weight,68,cosine_similarity,0.154604971408844,768,768
t5-base,actmat,transformer.encoder.block.11.layer.0.SelfAttention.o.weight,69,cosine_similarity,0.27444276213645935,768,768
t5-base,identity,transformer.encoder.block.11.layer.0.SelfAttention.o.weight,69,cosine_similarity,0.07215344160795212,768,768
t5-base,actmat,transformer.encoder.block.11.layer.1.DenseReluDense.wi.weight,70,cosine_similarity,0.2467890828847885,768,3072
t5-base,identity,transformer.encoder.block.11.layer.1.DenseReluDense.wi.weight,70,cosine_similarity,0.08299779891967773,768,3072
t5-base,actmat,transformer.encoder.block.11.layer.1.DenseReluDense.wo.weight,71,cosine_similarity,0.0349203385412693,3072,768
t5-base,identity,transformer.encoder.block.11.layer.1.DenseReluDense.wo.weight,71,cosine_similarity,0.033520571887493134,3072,768
t5-base,actmat,transformer.decoder.block.0.layer.0.SelfAttention.q.weight,72,cosine_similarity,0.4720765948295593,768,768
t5-base,identity,transformer.decoder.block.0.layer.0.SelfAttention.q.weight,72,cosine_similarity,0.11754478514194489,768,768
t5-base,actmat,transformer.decoder.block.0.layer.0.SelfAttention.k.weight,73,cosine_similarity,0.4859015941619873,768,768
t5-base,identity,transformer.decoder.block.0.layer.0.SelfAttention.k.weight,73,cosine_similarity,0.11754478514194489,768,768
t5-base,actmat,transformer.decoder.block.0.layer.0.SelfAttention.v.weight,74,cosine_similarity,0.19009263813495636,768,768
t5-base,identity,transformer.decoder.block.0.layer.0.SelfAttention.v.weight,74,cosine_similarity,0.11754478514194489,768,768
t5-base,actmat,transformer.decoder.block.0.layer.0.SelfAttention.o.weight,75,cosine_similarity,0.2573903799057007,768,768
t5-base,identity,transformer.decoder.block.0.layer.0.SelfAttention.o.weight,75,cosine_similarity,0.11708119511604309,768,768
t5-base,actmat,transformer.decoder.block.0.layer.1.EncDecAttention.q.weight,76,cosine_similarity,0.22683916985988617,768,768
t5-base,identity,transformer.decoder.block.0.layer.1.EncDecAttention.q.weight,76,cosine_similarity,0.09298016875982285,768,768
t5-base,actmat,transformer.decoder.block.0.layer.1.EncDecAttention.k.weight,77,cosine_similarity,0.22852841019630432,768,768
t5-base,identity,transformer.decoder.block.0.layer.1.EncDecAttention.k.weight,77,cosine_similarity,0.14027296006679535,768,768
t5-base,actmat,transformer.decoder.block.0.layer.1.EncDecAttention.v.weight,78,cosine_similarity,0.24365051090717316,768,768
t5-base,identity,transformer.decoder.block.0.layer.1.EncDecAttention.v.weight,78,cosine_similarity,0.14027296006679535,768,768
t5-base,actmat,transformer.decoder.block.0.layer.1.EncDecAttention.o.weight,79,cosine_similarity,0.30594438314437866,768,768
t5-base,identity,transformer.decoder.block.0.layer.1.EncDecAttention.o.weight,79,cosine_similarity,0.05835344269871712,768,768
t5-base,actmat,transformer.decoder.block.0.layer.2.DenseReluDense.wi.weight,80,cosine_similarity,0.33720114827156067,768,3072
t5-base,identity,transformer.decoder.block.0.layer.2.DenseReluDense.wi.weight,80,cosine_similarity,0.07956093549728394,768,3072
t5-base,actmat,transformer.decoder.block.0.layer.2.DenseReluDense.wo.weight,81,cosine_similarity,0.04353923350572586,3072,768
t5-base,identity,transformer.decoder.block.0.layer.2.DenseReluDense.wo.weight,81,cosine_similarity,0.02798832580447197,3072,768
t5-base,actmat,transformer.decoder.block.1.layer.0.SelfAttention.q.weight,82,cosine_similarity,0.42757827043533325,768,768
t5-base,identity,transformer.decoder.block.1.layer.0.SelfAttention.q.weight,82,cosine_similarity,0.09302713721990585,768,768
t5-base,actmat,transformer.decoder.block.1.layer.0.SelfAttention.k.weight,83,cosine_similarity,0.3815372884273529,768,768
t5-base,identity,transformer.decoder.block.1.layer.0.SelfAttention.k.weight,83,cosine_similarity,0.09302713721990585,768,768
t5-base,actmat,transformer.decoder.block.1.layer.0.SelfAttention.v.weight,84,cosine_similarity,0.1364106684923172,768,768
t5-base,identity,transformer.decoder.block.1.layer.0.SelfAttention.v.weight,84,cosine_similarity,0.09302713721990585,768,768
t5-base,actmat,transformer.decoder.block.1.layer.0.SelfAttention.o.weight,85,cosine_similarity,0.3452269732952118,768,768
t5-base,identity,transformer.decoder.block.1.layer.0.SelfAttention.o.weight,85,cosine_similarity,0.07425405830144882,768,768
t5-base,actmat,transformer.decoder.block.1.layer.1.EncDecAttention.q.weight,86,cosine_similarity,0.324658066034317,768,768
t5-base,identity,transformer.decoder.block.1.layer.1.EncDecAttention.q.weight,86,cosine_similarity,0.08911021053791046,768,768
t5-base,actmat,transformer.decoder.block.1.layer.1.EncDecAttention.k.weight,87,cosine_similarity,0.23323480784893036,768,768
t5-base,identity,transformer.decoder.block.1.layer.1.EncDecAttention.k.weight,87,cosine_similarity,0.14027296006679535,768,768
t5-base,actmat,transformer.decoder.block.1.layer.1.EncDecAttention.v.weight,88,cosine_similarity,0.25033095479011536,768,768
t5-base,identity,transformer.decoder.block.1.layer.1.EncDecAttention.v.weight,88,cosine_similarity,0.14027296006679535,768,768
t5-base,actmat,transformer.decoder.block.1.layer.1.EncDecAttention.o.weight,89,cosine_similarity,0.1854812651872635,768,768
t5-base,identity,transformer.decoder.block.1.layer.1.EncDecAttention.o.weight,89,cosine_similarity,0.06709650903940201,768,768
t5-base,actmat,transformer.decoder.block.1.layer.2.DenseReluDense.wi.weight,90,cosine_similarity,0.4054184854030609,768,3072
t5-base,identity,transformer.decoder.block.1.layer.2.DenseReluDense.wi.weight,90,cosine_similarity,0.06829848140478134,768,3072
t5-base,actmat,transformer.decoder.block.1.layer.2.DenseReluDense.wo.weight,91,cosine_similarity,0.0249836053699255,3072,768
t5-base,identity,transformer.decoder.block.1.layer.2.DenseReluDense.wo.weight,91,cosine_similarity,0.025544418022036552,3072,768
t5-base,actmat,transformer.decoder.block.2.layer.0.SelfAttention.q.weight,92,cosine_similarity,0.43100276589393616,768,768
t5-base,identity,transformer.decoder.block.2.layer.0.SelfAttention.q.weight,92,cosine_similarity,0.07995239645242691,768,768
t5-base,actmat,transformer.decoder.block.2.layer.0.SelfAttention.k.weight,93,cosine_similarity,0.41399022936820984,768,768
t5-base,identity,transformer.decoder.block.2.layer.0.SelfAttention.k.weight,93,cosine_similarity,0.07995239645242691,768,768
t5-base,actmat,transformer.decoder.block.2.layer.0.SelfAttention.v.weight,94,cosine_similarity,0.12575973570346832,768,768
t5-base,identity,transformer.decoder.block.2.layer.0.SelfAttention.v.weight,94,cosine_similarity,0.07995239645242691,768,768
t5-base,actmat,transformer.decoder.block.2.layer.0.SelfAttention.o.weight,95,cosine_similarity,0.19458509981632233,768,768
t5-base,identity,transformer.decoder.block.2.layer.0.SelfAttention.o.weight,95,cosine_similarity,0.07060463726520538,768,768
t5-base,actmat,transformer.decoder.block.2.layer.1.EncDecAttention.q.weight,96,cosine_similarity,0.2954089641571045,768,768
t5-base,identity,transformer.decoder.block.2.layer.1.EncDecAttention.q.weight,96,cosine_similarity,0.08030524104833603,768,768
t5-base,actmat,transformer.decoder.block.2.layer.1.EncDecAttention.k.weight,97,cosine_similarity,0.22850973904132843,768,768
t5-base,identity,transformer.decoder.block.2.layer.1.EncDecAttention.k.weight,97,cosine_similarity,0.14027296006679535,768,768
t5-base,actmat,transformer.decoder.block.2.layer.1.EncDecAttention.v.weight,98,cosine_similarity,0.25672438740730286,768,768
