dataset,layer_name,step,cosine_similarity,type
Cars,image_encoder.model.visual.transformer.resblocks.1.attn.k,1800,0.9978205561637878,cross
Cars,image_encoder.model.visual.transformer.resblocks.1.attn.v,1800,0.9978205561637878,cross
Cars,image_encoder.model.visual.transformer.resblocks.1.attn.o,1800,0.9952520728111267,cross
Cars,image_encoder.model.visual.transformer.resblocks.1.attn,1800,0.9978205561637878,cross
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,1800,0.9967105984687805,cross
Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,1800,0.9986793398857117,cross
Cars,image_encoder.model.visual.transformer.resblocks.2.attn.q,1800,0.997417151927948,cross
Cars,image_encoder.model.visual.transformer.resblocks.2.attn.k,1800,0.997417151927948,cross
Cars,image_encoder.model.visual.transformer.resblocks.2.attn.v,1800,0.997417151927948,cross
Cars,image_encoder.model.visual.transformer.resblocks.2.attn.o,1800,0.9934687614440918,cross
Cars,image_encoder.model.visual.transformer.resblocks.2.attn,1800,0.997417151927948,cross
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,1800,0.9954257011413574,cross
Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_proj,1800,0.9978976249694824,cross
Cars,image_encoder.model.visual.transformer.resblocks.3.attn.q,1800,0.9957015514373779,cross
Cars,image_encoder.model.visual.transformer.resblocks.3.attn.k,1800,0.9957015514373779,cross
Cars,image_encoder.model.visual.transformer.resblocks.3.attn.v,1800,0.9957015514373779,cross
Cars,image_encoder.model.visual.transformer.resblocks.3.attn.o,1800,0.9920902252197266,cross
Cars,image_encoder.model.visual.transformer.resblocks.3.attn,1800,0.9957015514373779,cross
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,1800,0.9953935146331787,cross
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,1800,0.9979192614555359,cross
Cars,image_encoder.model.visual.transformer.resblocks.4.attn.q,1800,0.9951050281524658,cross
Cars,image_encoder.model.visual.transformer.resblocks.4.attn.k,1800,0.9951050281524658,cross
Cars,image_encoder.model.visual.transformer.resblocks.4.attn.v,1800,0.9951050281524658,cross
Cars,image_encoder.model.visual.transformer.resblocks.4.attn.o,1800,0.9895970821380615,cross
Cars,image_encoder.model.visual.transformer.resblocks.4.attn,1800,0.9951050281524658,cross
Cars,image_encoder.model.visual.transformer.resblocks.4.mlp.c_fc,1800,0.9970072507858276,cross
Cars,image_encoder.model.visual.transformer.resblocks.4.mlp.c_proj,1800,0.9979320764541626,cross
Cars,image_encoder.model.visual.transformer.resblocks.5.attn.q,1800,0.9961496591567993,cross
Cars,image_encoder.model.visual.transformer.resblocks.5.attn.k,1800,0.9961496591567993,cross
Cars,image_encoder.model.visual.transformer.resblocks.5.attn.v,1800,0.9961496591567993,cross
Cars,image_encoder.model.visual.transformer.resblocks.5.attn.o,1800,0.9905679821968079,cross
Cars,image_encoder.model.visual.transformer.resblocks.5.attn,1800,0.9961496591567993,cross
Cars,image_encoder.model.visual.transformer.resblocks.5.mlp.c_fc,1800,0.9976460337638855,cross
Cars,image_encoder.model.visual.transformer.resblocks.5.mlp.c_proj,1800,0.9982413649559021,cross
Cars,image_encoder.model.visual.transformer.resblocks.6.attn.q,1800,0.9942883253097534,cross
Cars,image_encoder.model.visual.transformer.resblocks.6.attn.k,1800,0.9942883253097534,cross
Cars,image_encoder.model.visual.transformer.resblocks.6.attn.v,1800,0.9942883253097534,cross
Cars,image_encoder.model.visual.transformer.resblocks.6.attn.o,1800,0.9916658401489258,cross
