subset_id,method,task,size,retained,zs,relres
m4_10,actmat,RESISC45,4,0.9657057654075546,0.6022222222222222,0.0467234104074981
m4_07,actmat,FER2013,4,0.9604606525911707,0.492059069378657,0.0362193079498163
m4_07,actmat,GTSRB,4,0.9810566701302854,0.32557403008709423,0.0227105412949535
m4_07,actmat,OxfordIIITPet,4,0.9785841760856633,0.8743526846552194,0.1030203356258428
m4_07,actmat,RESISC45,4,0.9744864148442677,0.6022222222222222,0.0440754136008036
m4_01,actmat,Food101,4,0.9421421242806798,0.8272079207920792,0.0827247140347335
m4_01,actmat,MNIST,4,0.998996689073944,0.4825,0.0094371297744719
m4_01,actmat,RESISC45,4,0.9852551358515573,0.6022222222222222,0.0455633331681014
m4_01,actmat,RenderedSST2,4,0.9904552129221733,0.585941790225151,0.0154111422728574
m4_03,actmat,DTD,4,0.9058265582655828,0.4441489361702128,0.0839193264504974
m4_03,actmat,EMNIST,4,0.9994488011424849,0.171975,0.0117324065069751
m4_03,actmat,Food101,4,0.8549315251817817,0.8272079207920792,0.1162217569606417
m4_03,actmat,SVHN,4,0.9528748324000316,0.3160725261216964,0.0189950693903784
m4_11,actmat,Cars,4,0.950432730133753,0.5964432284541724,0.0365896135888846
m4_11,actmat,FER2013,4,0.9439539347408828,0.492059069378657,0.0516273991366118
m4_11,actmat,FashionMNIST,4,0.9832249947578109,0.6302,0.0465135121080307
m4_11,actmat,GTSRB,4,0.9765006794021261,0.32557403008709423,0.028385564637801
m4_09,actmat,CIFAR10,4,0.9773515609059376,0.8983,0.0608103688538809
m4_09,actmat,Cars,4,0.8546026750590088,0.5964432284541724,0.0318710611983365
m4_09,actmat,MNIST,4,0.9980937092404936,0.4825,0.0109800786036253
m4_09,actmat,STL10,4,0.9941296579887697,0.97125,0.106700251170656
m4_05,actmat,Cars,4,0.9540519276160504,0.5964432284541724,0.0335180289226372
m4_05,actmat,DTD,4,0.9613821138211383,0.4441489361702128,0.066962425207429
m4_05,actmat,Food101,4,0.9507516616853281,0.8272079207920792,0.0972581398821287
m4_05,actmat,GTSRB,4,0.9863320278155223,0.32557403008709423,0.0222224081868898
m8_20,actmat,CIFAR10,8,0.9670475413180983,0.8983,0.1338219506930126
m8_20,actmat,DTD,8,0.853658536585366,0.4441489361702128,0.1429798277420115
m8_20,actmat,EuroSAT,8,0.90847711927982,0.45444444444444443,0.0963635605588831
m8_20,actmat,FER2013,8,0.9059500959692898,0.492059069378657,0.1042236773188616
m8_20,actmat,FashionMNIST,8,0.9658209268190396,0.6302,0.0966380025539863
