subset_id,method,task,size,retained,zs,relres
m8_17,mean,MNIST,8,0.7972308618440854,0.4825,0.6819236233675204
m8_17,mean,RESISC45,8,0.7352551358515573,0.6022222222222222,0.7003942050643521
m8_17,mean,RenderedSST2,8,0.8472834067547724,0.585941790225151,0.7592440489156045
m8_16,mean,CIFAR100,8,0.8188356934142504,0.642,0.6452272671244019
m8_16,mean,Cars,8,0.7831628638867034,0.5964432284541724,0.7210449778257749
m8_16,mean,Flowers102,8,0.7747650036153291,0.6631972678484307,0.6866950031679592
m8_16,mean,GTSRB,8,0.5206618176005116,0.32557403008709423,0.6911603934681324
m8_16,mean,MNIST,8,0.7954249021771846,0.4825,0.7180453406769842
m8_16,mean,RESISC45,8,0.7384029158383035,0.6022222222222222,0.6919495750324723
m8_16,mean,RenderedSST2,8,0.8509544787077826,0.585941790225151,0.7578598534522155
m8_16,mean,STL10,8,0.9964267483409902,0.97125,0.660174123821111
m8_21,mean,CIFAR100,8,0.7968082715216902,0.642,0.6383416693176576
m8_21,mean,Cars,8,0.7974822974036192,0.5964432284541724,0.7182559840716183
m8_21,mean,DTD,8,0.644308943089431,0.4441489361702128,0.67035568305336
m8_21,mean,EuroSAT,8,0.673668417104276,0.45444444444444443,0.7124355725606988
m8_21,mean,GTSRB,8,0.5260970346095436,0.32557403008709423,0.6860106974115859
m8_21,mean,KMNIST,8,0.1616407757132704,0.0977,0.7094699724445552
m8_21,mean,MNIST,8,0.7924149693990167,0.4825,0.7015169043973474
m8_21,mean,OxfordIIITPet,8,0.964009518143962,0.8743526846552194,0.6980268119631964
m8_19,mean,Cars,8,0.7730920535011803,0.5964432284541724,0.7211936302306057
m8_19,mean,DTD,8,0.6476964769647697,0.4441489361702128,0.6653323655092129
m8_19,mean,EuroSAT,8,0.713053263315829,0.45444444444444443,0.7014406476683127
m8_19,mean,Food101,8,0.930633001739751,0.8272079207920792,0.7013826130783742
m8_19,mean,GTSRB,8,0.5166653345056351,0.32557403008709423,0.7014289987322766
m8_19,mean,KMNIST,8,0.1553457203777033,0.0977,0.7366685985016975
m8_19,mean,RESISC45,8,0.7581179589131875,0.6022222222222222,0.6740259737426126
m8_19,mean,STL10,8,0.9938744257274119,0.97125,0.6608436971567991
m8_12,mean,CIFAR100,8,0.8154641492470218,0.642,0.6360018489772827
m8_12,mean,Cars,8,0.7719905586152637,0.5964432284541724,0.733632648866579
m8_12,mean,EMNIST,8,0.4260516623656453,0.171975,0.729773573666015
m8_12,mean,EuroSAT,8,0.6841710427606902,0.45444444444444443,0.7017932516586468
m8_12,mean,FashionMNIST,8,0.7916754036485637,0.6302,0.7019150429449069
m8_12,mean,Flowers102,8,0.7682574114244397,0.6631972678484307,0.7059915690275798
m8_12,mean,PCAM,8,0.8097763910556423,0.606201171875,0.7567986658724738
m8_12,mean,STL10,8,0.9942572741194488,0.97125,0.6597428633999655
m12_25,mean,CIFAR10,12,0.9526627218934911,0.8983,0.6944556402164649
m12_25,mean,CIFAR100,12,0.8124297594965161,0.642,0.6668850596001588
m12_25,mean,Cars,12,0.7683713611329662,0.5964432284541724,0.786287076263721
m12_25,mean,DTD,12,0.5975609756097561,0.4441489361702128,0.730118178315785
m12_25,mean,EMNIST,12,0.36572044196126574,0.171975,0.7906642082429203
m12_25,mean,EuroSAT,12,0.6042760690172543,0.45444444444444443,0.7637809327607061
m12_25,mean,FER2013,12,0.7305182341650671,0.492059069378657,0.7732665672216467
m12_25,mean,FashionMNIST,12,0.7701824281820089,0.6302,0.7590913537930349
m12_25,mean,Flowers102,12,0.7546999276934202,0.6631972678484307,0.7261901304348536
m12_25,mean,GTSRB,12,0.45695787706818003,0.32557403008709423,0.7574154627523442
m12_25,mean,OxfordIIITPet,12,0.9610350981558597,0.8743526846552194,0.7421946773495207
m12_25,mean,RenderedSST2,12,0.8215859030837005,0.585941790225151,0.82376966909612
m12_26,mean,CIFAR100,12,0.7733198471566645,0.642,0.7031886456225298
m12_26,mean,Cars,12,0.7729346970889064,0.5964432284541724,0.7995490764714053
m12_26,mean,DTD,12,0.6070460704607047,0.4441489361702128,0.7599724615802523
m12_26,mean,EMNIST,12,0.4013980407386065,0.171975,0.7519268854399306
m12_26,mean,EuroSAT,12,0.5982745686421606,0.45444444444444443,0.7712574322513365
m12_26,mean,FashionMNIST,12,0.753931641853638,0.6302,0.7563437643972687
m12_26,mean,Food101,12,0.9112280858277201,0.8272079207920792,0.7710560920156861
m12_26,mean,KMNIST,12,0.1093512031678343,0.0977,0.7621122484377769
m12_26,mean,MNIST,12,0.7801745761011337,0.4825,0.7135024174925916
m12_26,mean,PCAM,12,0.7325013000520021,0.606201171875,0.8342401369065703
m12_26,mean,RenderedSST2,12,0.8348017621145375,0.585941790225151,0.8282792346054195
m12_26,mean,SVHN,12,0.5572206009937692,0.3160725261216964,0.74994372459927
m8_18,mean,FER2013,8,0.7600767754318617,0.492059069378657,0.7211582135180307
m8_18,mean,FashionMNIST,8,0.7957643111763473,0.6302,0.713328348151757
m8_18,mean,Flowers102,8,0.7769342010122922,0.6631972678484307,0.6854960601273774
m8_18,mean,GTSRB,8,0.5147470226200943,0.32557403008709423,0.7155592917283489
m8_18,mean,OxfordIIITPet,8,0.9738251041046997,0.8743526846552194,0.687188623791932
m8_18,mean,PCAM,8,0.7731322586236783,0.606201171875,0.7684430964975899
m8_18,mean,STL10,8,0.9956610515569168,0.97125,0.6542058875885391
m8_18,mean,SUN397,8,0.8753935820995512,0.6318891687657431,0.6840996599818352
m8_22,mean,CIFAR10,8,0.9657212813711488,0.8983,0.6112138865884794
m8_22,mean,CIFAR100,8,0.8362553382782647,0.642,0.5976142844838158
m8_22,mean,Cars,8,0.7405192761605035,0.5964432284541724,0.7226018102744061
m8_22,mean,DTD,8,0.6422764227642277,0.4441489361702128,0.6704540320764233
m8_22,mean,FashionMNIST,8,0.8043615013629691,0.6302,0.7016038122219507
m8_22,mean,GTSRB,8,0.532491407561346,0.32557403008709423,0.7023050743756745
m8_22,mean,STL10,8,0.9947677386421643,0.97125,0.6116938816074236
m8_22,mean,SUN397,8,0.8765324579620821,0.6318891687657431,0.659496880085929
m8_23,mean,CIFAR100,8,0.8162508428860417,0.642,0.6350894827948836
m8_23,mean,Cars,8,0.8037765538945713,0.5964432284541724,0.7187579816796136
m8_23,mean,DTD,8,0.644308943089431,0.4441489361702128,0.6618851893702673
m8_23,mean,EuroSAT,8,0.7299324831207803,0.45444444444444443,0.6998537000930538
m8_23,mean,MNIST,8,0.866559646834554,0.4825,0.6761336706361065
m8_23,mean,OxfordIIITPet,8,0.971743010113028,0.8743526846552194,0.6942384757816986
m8_23,mean,SUN397,8,0.8701011589736718,0.6318891687657431,0.6628941551836585
m8_23,mean,SVHN,8,0.6073428503825223,0.3160725261216964,0.6885160442307304
m12_24,mean,CIFAR10,12,0.9508263619669456,0.8983,0.6882258018053348
m12_24,mean,CIFAR100,12,0.8016408181613845,0.642,0.6606220633207106
m12_24,mean,DTD,12,0.6063685636856369,0.4441489361702128,0.7199469120643637
m12_24,mean,EuroSAT,12,0.622655663915979,0.45444444444444443,0.7532274968300857
