task,zs_acc,zs_over_expert,tv_norm,tv_cos,expert_acc,cov_align_hat,relres_actmat_hat,relres_mean_hat,relres_regmean_hat,cov_align_real,relres_actmat_real,relres_mean_real,relres_regmean_real,retained_ace,merged_ace,retained_actmat,merged_actmat,retained_actmat_gd,merged_actmat_gd,retained_isoc,merged_isoc,retained_mean,merged_mean,retained_regmean,merged_regmean,retained_sum04,merged_sum04,retained_ties,merged_ties,retained_tsv,merged_tsv,retained_wudi,merged_wudi
GTSRB,0.5055423594615994,0.509739741338017,3.0188307291914414,0.02074032473766958,0.991765637371338,0.2438915221256133,0.265791924290866,0.8761395181652638,0.8614348588931475,0.4897466733059791,3.6477675131892866,0.9321886041398885,0.2867227499318759,0.929825961999042,0.9221694378463975,0.906195114162542,0.8987331749802059,0.8921443397732716,0.8847980997624703,0.9217627335142903,0.9141726049089469,0.5964394060354462,0.5915281076801266,0.8620469423598914,0.8549485352335708,0.3112725530895737,0.3087094220110847,0.6401085741657352,0.6348376880443388,0.913619671084145,0.9060965954077593,0.8352227367076481,0.828345209817894
KMNIST,0.1039,0.10511938486442737,4.212935375830138,0.027685478756471257,0.9884,0.2390547581582074,0.177648286309668,0.8243112143177681,0.6330368914008244,0.5001913170581779,2.1370477945822812,0.8691956119778732,0.22996741931420556,0.8171792796438689,0.8077,0.7784297855119385,0.7694,0.7760016187778228,0.767,0.806859571023877,0.7975,0.1123027114528531,0.111,0.6196883852691218,0.6125,0.20882233913395387,0.2064,0.3520841764467827,0.348,0.7989680291380008,0.7897,0.6726021853500607,0.6648
MNIST,0.7636,0.7650536018435026,3.5088025851139086,0.03675746431169404,0.9981,0.2427477669605661,0.1603240637320454,0.764394161122363,0.7401658425095259,0.4728504861395245,3.036618772006181,0.8382818338719655,0.217909510545979,0.9693417493237151,0.9675,0.9578198577296864,0.956,0.9630297565374212,0.9612,0.9884781084059714,0.9866,0.9292656046488328,0.9275,0.9640316601542932,0.9622,0.8915940286544435,0.8899,0.9686404167919046,0.9668,0.9797615469391845,0.9779,0.9749524095781985,0.9731
OxfordIIITPet,0.934314527119106,0.9769165004274722,3.5041274566527134,0.01778988382412701,0.9563913872989915,0.2609126811616643,0.4390627629665643,0.8284853498206152,1.0196793453766786,0.5489544929189019,4.473388250233407,0.9083532043847408,0.4914996026353984,1.0045597036192648,0.9607522485690924,1.0031347962382446,0.9593894794221859,1.0045597036192648,0.9607522485690924,1.0017098888572245,0.9580267102752794,0.9860359076660018,0.9430362496593078,1.0028498147620406,0.9591169255928046,0.6762610430322029,0.6467702371218316,0.9837560558563694,0.9408558190242573,1.0042747221430608,0.9604796947397111,0.9914505557138786,0.9482147724175525
PCAM,0.5120849609375,0.570496039166355,3.751981131445648,0.01597069120241652,0.897613525390625,0.2065854839955413,0.17086815820993817,0.8633371580635049,0.6900022565471056,0.4592122201020121,2.213039334015397,0.90143713994404,0.18502134082268262,0.9338047801992316,0.83819580078125,0.9118077040764287,0.818450927734375,0.9403325060347465,0.84405517578125,0.9215652942576412,0.82720947265625,0.7766973787100941,0.697174072265625,0.9892224526569884,0.887939453125,0.7945466290415802,0.71319580078125,0.7893788460884643,0.70855712890625,0.929452962975555,0.83428955078125,0.9027300853364159,0.810302734375
RESISC45,0.7133333333333334,0.7325183374083131,4.270069911129583,0.019362410294285,0.9738095238095238,0.25284765638773227,0.2571381015054417,0.7919414602986173,0.8664053467438618,0.512919916080349,2.5950394717394647,0.8791866482452273,0.3613517770389349,0.9377343113284434,0.9131746031746032,0.9393643031784842,0.9147619047619048,0.9356153219233904,0.9111111111111111,0.9427872860635697,0.9180952380952381,0.7817440912795437,0.7612698412698413,0.8914425427872861,0.8680952380952381,0.3079054604726977,0.29984126984126985,0.7667481662591688,0.7466666666666667,0.9163814180929095,0.8923809523809524,0.8490627546862266,0.8268253968253968
RenderedSST2,0.6891817682591982,0.8044871794871794,4.087251933179339,0.008492143379255336,0.85667215815486,0.16470147443667044,0.1814516671457473,0.9087818425574162,0.9099426406710416,0.3981912506753456,4.229799400565838,0.9331730269892846,0.26107167049788377,1.0012820512820513,0.8577704557935201,0.9955128205128205,0.8528281164195497,1.0,0.85667215815486,0.9371794871794872,0.8028555738605162,0.7852564102564102,0.6727073036792971,0.8833333333333333,0.756727073036793,0.6647435897435897,0.5694673256452498,0.7769230769230768,0.6655683690280065,0.9743589743589743,0.8347062053816584,0.9775641025641025,0.8374519494783086
STL10,0.993625,1.0002516672958348,3.8930961706310003,0.02333394412920582,0.993375,0.278950987214887,0.34933071234249724,0.7916846687834584,1.067436428420658,0.572029681627813,4.578900761815035,0.8794981647713016,0.5145695963316653,0.9994966654083302,0.992875,0.9979866616333207,0.991375,0.9988674971687429,0.99225,0.9983641625770732,0.99175,1.0003775009437523,0.99375,0.9998741663520825,0.99325,0.8213162199572166,0.815875,0.9855291304894929,0.979,0.9971058260978987,0.9905,0.9890524726311816,0.9825
SUN397,0.6823677581863979,0.8326161790017211,4.842605501752813,0.012770160817812973,0.8195465994962217,0.2629920779686552,0.3364476971144051,0.8496080284503628,0.9092633624612412,0.5640820577381211,2.9861755621520185,0.9051998049111543,0.5067727570432882,0.9417875583968527,0.7718387909319899,0.9433857880501597,0.7731486146095717,0.9414187361691665,0.771536523929471,0.946582247356774,0.7757682619647355,0.8592328497664126,0.7041813602015113,0.8776739611507254,0.719294710327456,0.41369559872141626,0.33904282115869017,0.8694369313990656,0.712544080604534,0.9151094172608804,0.7499748110831235,0.8945168428817311,0.7330982367758186
SVHN,0.5844729563614014,0.5961056260774173,4.143166268291056,0.02612443973165317,0.9804855562384758,0.23827036819871777,0.1337022666958477,0.8373452477534622,0.6127980845475818,0.48033129084243964,2.0356551159932827,0.871871511297985,0.23588183910905053,0.9335919134931828,0.9153733866011063,0.9321422974455414,0.9139520590043024,0.9362168939037768,0.9179471419791027,0.885989656793606,0.868700061462815,0.7167371885284438,0.7027504609711125,0.9175286005328318,0.8996235402581438,0.4890691114245416,0.47952519975414876,0.8028522175207647,0.7871850030731408,0.9149427989343362,0.8970881991395205,0.8654207804419369,0.8485325752919484
