subset_id,task,weight
m8_21,GTSRB,0.5788127267104861
m8_21,KMNIST,0.5301342345119923
m8_21,MNIST,0.42915711238958504
m8_21,OxfordIIITPet,2.6215269497183864
m8_22,CIFAR10,1.1645722197864181
m8_22,CIFAR100,1.1464884992462052
m8_22,Cars,0.634541319565086
m8_22,DTD,1.0172486973732526
m8_22,FashionMNIST,0.6812640369270401
m8_22,GTSRB,0.5403132564453151
m8_22,STL10,1.6455094255533096
m8_22,SUN397,1.1700625451033737
m8_23,CIFAR100,1.1416270872186727
m8_23,Cars,0.6429380247681197
m8_23,DTD,1.1483512568852303
m8_23,EuroSAT,0.6965024526004446
m8_23,MNIST,0.4307663045896795
m8_23,OxfordIIITPet,2.133036639771001
m8_23,SUN397,1.3626281475721367
m8_23,SVHN,0.4441500865947144
m12_24,CIFAR10,1.1169356269118602
m12_24,CIFAR100,1.207591875370418
m12_24,DTD,1.1361530051708209
m12_24,EuroSAT,0.754964020128812
m12_24,FER2013,0.8427571622016603
m12_24,FashionMNIST,0.7704632601617152
m12_24,Flowers102,2.3331435796664795
m12_24,GTSRB,0.5786141581315377
m12_24,KMNIST,0.5492226277848011
m12_24,MNIST,0.4459853819419167
m12_24,RESISC45,0.9730882127995615
m12_24,SUN397,1.2910810897304197
m12_25,CIFAR10,1.170690820064591
m12_25,CIFAR100,1.1961012884801692
m12_25,Cars,0.6314260243939307
m12_25,DTD,1.0839689488096513
m12_25,EMNIST,0.3905634812425361
m12_25,EuroSAT,0.6673095962892038
m12_25,FER2013,0.8365183927800844
m12_25,FashionMNIST,0.7546905028424375
m12_25,Flowers102,2.314502279660428
m12_25,GTSRB,0.556803746126658
m12_25,OxfordIIITPet,1.9268441266190643
m12_25,RenderedSST2,0.4705807926912464
m12_26,CIFAR100,1.4833318451980368
m12_26,Cars,0.7416927537191289
m12_26,DTD,1.608366199776976
m12_26,EMNIST,0.42324050831909965
m12_26,EuroSAT,0.7965933197528623
m12_26,FashionMNIST,0.9235518832367189
m12_26,Food101,3.1212081020325257
m12_26,KMNIST,0.6211714265351824
m12_26,MNIST,0.4890189947809034
m12_26,PCAM,0.7927000279112979
m12_26,RenderedSST2,0.5181077983813411
m12_26,SVHN,0.48101714035592835
m12_27,CIFAR10,1.0552245700925593
m12_27,CIFAR100,1.1092087769084644
m12_27,Cars,0.6220148969763131
m12_27,EMNIST,0.3969027443964549
m12_27,EuroSAT,0.6472541561023722
m12_27,FER2013,0.7808500287830027
m12_27,FashionMNIST,0.7167560029064722
m12_27,Flowers102,1.9466342401782866
m12_27,Food101,1.61675465528535
m12_27,GTSRB,0.5464025309973217
m12_27,STL10,1.4266592616842146
m12_27,SUN397,1.13533813568919
m12_28,CIFAR10,1.0153338782234345
m12_28,Cars,0.6265433291731002
m12_28,EMNIST,0.397087413612182
m12_28,FER2013,0.7995332744436816
m12_28,Flowers102,2.0269669542486866
m12_28,Food101,1.7303492745316196
m12_28,GTSRB,0.545496508455664
m12_28,KMNIST,0.5348777859355274
m12_28,OxfordIIITPet,1.791878267556879
m12_28,RESISC45,0.83056069789142
m12_28,RenderedSST2,0.4671202092225847
m12_28,SUN397,1.2342524067052212
m12_29,CIFAR100,1.106271054856676
m12_29,Cars,0.6334582585003907
m12_29,DTD,1.1518339073376247
m12_29,EMNIST,0.397744196664674
m12_29,EuroSAT,0.6662827520976523
m12_29,FashionMNIST,0.7306055332986702
m12_29,Flowers102,2.422884171272571
m12_29,Food101,1.932258620170159
m12_29,GTSRB,0.5606152971359857
m12_29,MNIST,0.4394556046635333
m12_29,PCAM,0.6611604934897485
m12_29,SUN397,1.2974301105123143
m12_30,CIFAR10,1.2511335032133222
m12_30,CIFAR100,1.3801704753173651
m12_30,DTD,1.3087660774527332
m12_30,EMNIST,0.4250523578500232
m12_30,FER2013,0.9520095063420897
m12_30,Food101,2.4187146008588845
m12_30,GTSRB,0.6312717719046561
m12_30,KMNIST,0.5978877861529114
m12_30,MNIST,0.48762986558906063
m12_30,RenderedSST2,0.5136126849879702
m12_30,SUN397,1.550340324216911
m12_30,SVHN,0.4834110461140713
m12_31,CIFAR10,1.222007965660474
m12_31,EuroSAT,0.8171246472904259
m12_31,FER2013,0.9262533127707231
m12_31,FashionMNIST,0.8313047355620755
m12_31,Food101,2.3205692156067594
m12_31,GTSRB,0.6100817291665623
m12_31,KMNIST,0.571769281440705
m12_31,MNIST,0.46553152710121914
m12_31,PCAM,0.7357961753965536
m12_31,RESISC45,1.07190791056437
m12_31,STL10,1.9515179433741903
m12_31,SVHN,0.4761355560659395
m12_32,CIFAR100,1.0799085142830744
m12_32,Cars,0.6232671390879309
m12_32,EMNIST,0.3947087161475682
m12_32,EuroSAT,0.653711118472309
m12_32,FashionMNIST,0.7249009525854171
m12_32,Flowers102,2.168881134208528
m12_32,GTSRB,0.5416822401934533
m12_32,KMNIST,0.5300448183013726
m12_32,OxfordIIITPet,1.828745410255359
m12_32,PCAM,0.6426972028766973
m12_32,STL10,1.6093158171392998
m12_32,SUN397,1.2021369364489898
m12_33,CIFAR10,0.9986246826438885
m12_33,CIFAR100,1.0444826214134693
m12_33,DTD,0.9622067212878319
m12_33,EMNIST,0.4011090257796279
m12_33,FER2013,0.7572325865207785
m12_33,FashionMNIST,0.7026830813069482
m12_33,Flowers102,1.7802085574589306
m12_33,GTSRB,0.5400610558104183
m12_33,OxfordIIITPet,1.5895039792865822
m12_33,RESISC45,0.7933183049029853
m12_33,STL10,1.3464002245109006
m12_33,SUN397,1.0841691590776408
m12_34,CIFAR10,1.0547105241594845
m12_34,CIFAR100,1.0687965525025813
m12_34,Cars,0.6146059618582379
m12_34,DTD,1.0145170481768828
m12_34,EMNIST,0.405186556556273
m12_34,EuroSAT,0.6865914334431926
m12_34,Flowers102,2.0281296337569685
m12_34,KMNIST,0.533666611997548
m12_34,MNIST,0.44113900169457976
m12_34,OxfordIIITPet,1.7566092361047474
m12_34,RESISC45,0.8824436061239908
m12_34,STL10,1.5136038336255138
m12_35,CIFAR10,1.060178735640255
m12_35,CIFAR100,1.0983757390539712
m12_35,Cars,0.6169792780527203
m12_35,DTD,1.027485474757383
m12_35,FER2013,0.8003070748581581
m12_35,FashionMNIST,0.7315168942132748
m12_35,Flowers102,2.09070731233572
m12_35,Food101,1.6872917143854596
m12_35,KMNIST,0.5296101402978822
m12_35,MNIST,0.44524712192257865
m12_35,STL10,1.464087313576393
m12_35,SVHN,0.4482132009062043
