task,zs_acc,zs_over_expert,tv_norm,tv_cos,expert_acc,cov_align_hat,relres_actmat_hat,relres_mean_hat,relres_regmean_hat,cov_align_real,relres_actmat_real,relres_mean_real,relres_regmean_real,retained_ace,merged_ace,retained_actmat,merged_actmat,retained_actmat_gd,merged_actmat_gd,retained_isoc,merged_isoc,retained_mean,merged_mean,retained_regmean,merged_regmean,retained_sum04,merged_sum04,retained_ties,merged_ties,retained_tsv,merged_tsv,retained_wudi,merged_wudi
GTSRB,0.32557403008709423,0.3286707697226441,2.283099472362401,0.031648729081293576,0.990577988915281,0.23789125757035937,0.16157542741120573,0.8002484164375036,0.675166187416471,0.4181147378733877,1.8641616163279071,0.8873606283194343,0.28532207131044957,0.7653265126688514,0.7581155977830563,0.749260650627448,0.7422011084718924,0.7502997362321159,0.7432304038004751,0.7451043082087763,0.7380839271575613,0.42043002158100873,0.4164687252573238,0.6933098872991768,0.6867775138558987,0.160258972104548,0.1587490102929533,0.4508032931020702,0.44655581947743467,0.762848693150028,0.7556611243072051,0.4595955559107985,0.4552652414885194
KMNIST,0.0977,0.09919788811046806,2.6761706883287673,0.031898967534331676,0.9849,0.22550069165827258,0.14849659736199639,0.8276640334640992,0.5370016782999664,0.3874940930178787,1.0682514843867046,0.8818653224668669,0.2108199471937156,0.5519342065184283,0.5436,0.5601583917148949,0.5517,0.526449385724439,0.5185,0.48624225809726873,0.4789,0.08853690730023353,0.0872,0.37800791958574476,0.3723,0.154838054624835,0.1525,0.2270281246827089,0.2236,0.5858462788100315,0.577,0.47933800385825975,0.4721
MNIST,0.4825,0.4840975218220126,2.3903820776933853,0.041531144477030046,0.9967,0.22669129670741942,0.10005708787580418,0.7933060492203358,0.5311504281214923,0.35738836271805435,1.5259592059634017,0.8631659001352001,0.21789520214316987,0.930771546102137,0.9277,0.929266579713053,0.9262,0.9269589645831243,0.9239,0.9590649142169158,0.9559,0.7110464532958763,0.7087,0.857830841777867,0.855,0.6007825825223236,0.5988,0.8502056787398415,0.8474,0.9525433931975519,0.9494,0.92204274104545,0.919
OxfordIIITPet,0.8743526846552194,0.9541939321832243,2.095774485376581,0.025618685084376012,0.91632597437994,0.2720979899099935,0.4264519253860343,0.7910302538177849,0.8895208192041509,0.46517119356512765,2.15008255515439,0.9213045678720477,0.45155990969914794,0.9604402141582391,0.8800763150722267,0.9390243902439025,0.860452439356773,0.9455681142177276,0.8664486236031617,0.9303985722784057,0.8525483783047152,0.9586555621653778,0.878440992095939,0.9863176680547294,0.9037884982284001,0.28316478286734087,0.25947124557100026,0.8590124925639501,0.7871354592532025,0.9643069601427722,0.8836195148541837,0.6543723973825104,0.5996184246388662
PCAM,0.606201171875,0.6886462125151672,2.2913588651302645,0.015272225698180132,0.880279541015625,0.18619816518138158,0.18775137129575487,0.8907657779473973,0.6190569581197073,0.3410190473697339,1.228709148103286,0.916058801168006,0.1967600804082637,0.9594730455884902,0.8446044921875,0.9358294331773271,0.82379150390625,0.9569769457444964,0.8424072265625,0.8681573929623851,0.76422119140625,0.7096203848153926,0.624664306640625,0.9565609291038308,0.842041015625,0.5788871554862195,0.50958251953125,0.7704974865661293,0.678253173828125,0.9428670480152539,0.829986572265625,0.8735656092910383,0.76898193359375
RESISC45,0.6022222222222222,0.6285619615639496,2.5464805819803105,0.02523959391957324,0.9580952380952381,0.251507203555557,0.2737962670584129,0.7956357747527028,0.7329026449996024,0.41960397477694705,1.2200084817736057,0.8981520275675247,0.31771094130275473,0.8223989396951623,0.7879365079365079,0.7813121272365805,0.7485714285714286,0.8041749502982106,0.7704761904761904,0.7844599072233267,0.7515873015873016,0.6754473161033797,0.6471428571428571,0.8061630218687873,0.7723809523809524,0.10172299536116633,0.09746031746031746,0.5907886017229953,0.566031746031746,0.7781643472498343,0.7455555555555555,0.4479787939032472,0.4292063492063492
RenderedSST2,0.585941790225151,0.7834067547723935,2.428390487924689,0.010178114457922575,0.7479406919275123,0.1424032600292914,0.11352508442672501,0.8834232620368145,0.7512794964469153,0.29489885465540155,2.4016153917688325,0.912090910466272,0.28315634858951017,0.9647577092511014,0.7215815485996705,0.9346549192364171,0.6990664470071389,0.9669603524229075,0.7232289950576606,0.9368575624082232,0.700713893465129,0.8098384728340676,0.6057111477210324,0.893538913362702,0.6683141131246568,0.6718061674008811,0.5024711696869851,0.7408223201174744,0.5540911587040088,0.94640234948605,0.7078528281164196,0.8480176211453745,0.6342668863261944
STL10,0.97125,0.9915773353751913,2.073943069065503,0.03399015447843379,0.9795,0.29677078444429006,0.37851796445222763,0.7355187256199038,0.9030219847016582,0.4985894458443308,3.223446914285045,0.8974980086058222,0.702856124252934,0.9872383869321082,0.967,0.9786881061766206,0.958625,0.9841755997958141,0.964,0.9760081674323634,0.956,0.9900459418070444,0.96975,0.9848136804492087,0.964625,0.4601837672281776,0.45075,0.9202399183256764,0.901375,0.9820061255742726,0.961875,0.9275140377743746,0.9085
SUN397,0.6318891687657431,0.8402894084544784,2.893451834327037,0.02090738327246269,0.7519899244332494,0.27128328077838215,0.35664937696871774,0.7774775483490469,0.878739917804979,0.48145570427625933,1.8850004059898684,0.8940015343843677,0.6228824343855253,0.9066791719702552,0.6818136020151133,0.8642727942654251,0.6499244332493703,0.8840356401152274,0.6647858942065491,0.8491994372613385,0.6385894206549119,0.849735378843706,0.638992443324937,0.8694982246935083,0.6538539042821159,0.07818047832786226,0.05879093198992443,0.7208414282843171,0.5420654911838791,0.8405573792456621,0.6320906801007556,0.4084544784618477,0.3071536523929471
SVHN,0.3160725261216964,0.324473538922628,2.6856590850969493,0.03525193710703768,0.9741087891825445,0.2211670399955283,0.1006065144489336,0.8193755679438164,0.502349812098971,0.4198319119379491,1.3284378875098868,0.8748622773967861,0.2655481315645125,0.8679312248600047,0.845459434542102,0.8337408312958435,0.8121542716656422,0.8508557457212714,0.8288260602335586,0.7783342534900229,0.7581822372464659,0.48899755501222497,0.4763368162261832,0.7832242290401451,0.7629456054087277,0.25179430554460136,0.24527504609711126,0.5410521334490102,0.5270436385986478,0.7904014512185503,0.7699370006146281,0.6426768672608251,0.6260371850030731
